ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
1.02783,-0.150391,-0.179199,4.45557,2.19727,1.83105,-314,-36,119,-147.041,-78.9807,12.42,0.371582,-0.394531,1.11621,16.1743,3.66211,7.87354,71,93,367,-3.33984,-12.1893,-92.0105,0.943848,-0.882324,-0.00585938,14.5874,-2.50244,-19.043,-86,-19,199,-99.6515,-63.3636,-7.84424,0.788086,-0.84082,-0.192383,11.1694,1.09863,-21.9727,-99,450,186,-107.139,-50.7019,81.4801,
1.02197,-0.155762,-0.187012,5.37109,1.46484,2.01416,-313,-35,120,-146.58,-78.9587,11.9641,0.356934,-0.401367,1.12109,13.7329,6.7749,16.9067,71,93,367,-3.27393,-12.1234,-91.7743,0.921387,-0.86084,-0.0102539,28.1372,-2.99072,-30.6396,-85,-19,199,-99.3878,-63.5779,-7.7948,0.796387,-0.796387,-0.214844,17.1509,1.83105,-34.79,-99,451,187,-107.018,-51.0919,81.6174,
1.021,-0.137207,-0.180176,4.02832,-1.34277,1.95312,-314,-34,120,-146.266,-78.9148,11.673,0.35498,-0.347168,1.05713,8.36182,9.33838,28.6865,71,93,367,-3.35632,-12.0026,-91.2909,0.920898,-0.657227,-0.0615234,36.377,-2.99072,-39.917,-86,-19,198,-98.9429,-64.0778,-7.58606,0.808594,-0.694824,-0.188477,17.1509,2.99072,-42.9688,-101,449,188,-106.864,-51.7896,81.8591,
1.02783,-0.117676,-0.183594,3.05176,-2.13623,2.13623,-315,-36,107,-146.151,-78.8654,11.5576,0.312988,-0.222168,1.00146,2.19727,15.3198,37.1094,71,93,367,-3.49365,-11.8323,-90.791,0.90918,-0.470703,-0.0761719,28.0151,-4.02832,-44.5557,-86,-19,197,-98.6737,-64.8303,-7.19055,0.814941,-0.581055,-0.195801,14.1602,3.66211,-45.4102,-101,448,188,-106.771,-52.6025,82.1173,
1.0293,-0.104492,-0.177734,1.77002,-4.39453,1.83105,-314,-33,117,-146.146,-78.783,11.5686,0.26709,-0.0898438,0.966309,2.44141,15.0757,38.8794,71,93,367,-3.67493,-11.5356,-90.033,0.889648,-0.312012,-0.106445,11.2915,-5.7373,-47.1802,-87,-18,196,-98.811,-65.517,-6.72363,0.806152,-0.530273,-0.181152,11.4136,4.5166,-44.4946,-102,445,186,-106.776,-53.2233,82.3151,
1.0249,-0.0927734,-0.154297,-0.366211,-6.34766,1.09863,-315,-32,118,-146.31,-78.7061,11.7499,0.193848,0.0351562,0.879395,10.9863,18.0664,34.0576,71,93,367,-3.62549,-11.1841,-89.3188,0.875,-0.243164,-0.117676,4.5166,-5.61523,-45.8374,-89,-18,196,-99.3658,-66.4893,-5.9491,0.811035,-0.470703,-0.162109,5.79834,5.06592,-40.9546,-103,444,186,-106.809,-54.0253,82.5403,
1.03271,-0.0898438,-0.146484,-1.40381,-6.40869,0.549316,-314,-33,119,-146.629,-78.6127,12.1124,0.140625,0.115234,0.868652,12.6953,20.813,31.9824,71,93,367,-3.44971,-10.849,-88.8354,0.863281,-0.143555,-0.118164,-1.09863,-4.5166,-39.7949,-91,-21,197,-100.074,-67.4341,-5.13611,0.812012,-0.408203,-0.150879,2.86865,5.7373,-34.1187,-105,442,185,-106.859,-54.7229,82.7051,
1.04199,-0.0878906,-0.144043,-2.13623,-4.39453,0,-315,-31,122,-146.948,-78.5468,12.4805,0.0649414,0.202148,0.865723,9.94873,19.3481,26.4282,71,93,367,-3.14758,-10.3491,-88.2806,0.861816,-0.09375,-0.109863,-3.66211,-2.74658,-30.3955,-89,-24,197,-100.607,-68.0768,-4.5813,0.830078,-0.399414,-0.145508,4.82178,4.27246,-24.4141,-106,439,185,-106.897,-55.1349,82.793,
1.05029,-0.0883789,-0.146973,-1.95312,-1.28174,-0.549316,-315,-32,123,-147.123,-78.5303,12.6947,0.0166016,0.280762,0.849121,4.76074,12.9395,20.9351,71,93,367,-2.91687,-10.014,-87.951,0.868164,-0.0708008,-0.10791,2.19727,-0.732422,-21.6675,-91,-27,197,-101.135,-68.7579,-3.99353,0.822266,-0.416992,-0.131836,3.66211,3.54004,-16.0522,-107,437,185,-106.88,-55.5304,82.8534,
1.06104,-0.0854492,-0.161133,-2.31934,1.34277,-0.427246,-315,-33,124,-147.25,-78.5632,12.8705,0.00390625,0.307617,0.84375,-0.12207,8.30078,15.3198,71,93,367,-2.66968,-9.67896,-87.616,0.874023,-0.00488281,-0.11084,7.20215,1.15967,-8.60596,-92,-30,197,-101.305,-69.1479,-3.70239,0.835449,-0.394043,-0.150391,5.24902,0.854492,-4.21143,-108,433,184,-106.804,-55.7062,82.8754,
1.04346,-0.101074,-0.153809,-1.2207,3.23486,-0.976562,-314,-36,124,-147.151,-78.6182,12.7881,-0.0161133,0.35791,0.849609,-3.96729,6.16455,5.79834,71,93,367,-2.46643,-9.42078,-87.4347,0.866211,0.0654297,-0.131348,6.40869,2.2583,2.92969,-93,-32,197,-101.321,-69.4666,-3.46619,0.826172,-0.35791,-0.168457,2.13623,-1.15967,9.76562,-109,432,184,-106.738,-55.6732,82.8589,
1.05273,-0.103027,-0.163086,-2.68555,2.62451,-1.2207,-313,-34,125,-147.145,-78.6896,12.7826,-0.0415039,0.353027,0.852051,-4.45557,2.13623,-4.02832,71,93,367,-2.30164,-9.26147,-87.4622,0.838867,0.0712891,-0.138672,-6.34766,2.2583,18.6768,-91,-32,196,-101.365,-69.5215,-3.3728,0.807129,-0.376953,-0.182617,-1.70898,-3.17383,20.5078,-110,431,183,-106.694,-55.3986,82.793,
1.05078,-0.109863,-0.15625,-2.68555,2.2583,-1.15967,-314,-33,125,-147.129,-78.761,12.7606,-0.0209961,0.32959,0.814941,-7.14111,-6.34766,-19.104,71,93,367,-2.0874,-9.20654,-87.7588,0.825684,-0.0112305,-0.143555,-14.2212,2.13623,33.4473,-91,-32,197,-101.448,-69.3347,-3.41125,0.799805,-0.402344,-0.177246,-6.65283,-4.82178,34.0576,-110,432,182,-106.699,-55.0195,82.7161,
1.0498,-0.120117,-0.153809,-2.2583,1.58691,-0.976562,-312,-33,123,-147.134,-78.7994,12.7606,0.0327148,0.270508,0.830078,-14.0381,-13.0005,-31.7383,71,93,367,-1.97205,-9.27795,-88.1543,0.84375,-0.0698242,-0.131836,-19.3481,2.80762,42.6636,-94,-30,198,-101.536,-68.7909,-3.65845,0.811035,-0.433594,-0.162598,-11.2915,-5.67627,43.2129,-110,432,183,-106.749,-54.2999,82.5513,
1.05225,-0.123047,-0.150391,-1.2207,1.09863,-0.671387,-313,-33,121,-147.096,-78.8379,12.7167,0.0898438,0.203125,0.839355,-18.1885,-17.8223,-39.1846,71,93,367,-1.96655,-9.54712,-88.8739,0.873047,-0.186035,-0.130371,-23.0103,4.39453,52.002,-94,-27,199,-101.514,-68.2141,-4.0155,0.82666,-0.473633,-0.171875,-16.5405,-5.43213,52.5513,-110,434,183,-106.826,-53.3936,82.2986,
1.05664,-0.118652,-0.154297,0.12207,2.2583,-0.244141,-314,-35,118,-147.036,-78.8708,12.6617,0.166504,0.108398,0.881836,-18.1885,-21.1182,-45.166,71,93,367,-2.05444,-9.97559,-89.7253,0.891602,-0.283203,-0.129883,-24.1089,5.61523,56.3354,-92,-25,198,-101.382,-67.2473,-4.68018,0.818359,-0.543457,-0.193359,-20.1416,-4.39453,56.7627,-108,437,183,-106.924,-52.641,82.0569,
1.05273,-0.119141,-0.159668,2.01416,3.17383,-0.0610352,-313,-34,119,-146.827,-78.9203,12.4695,0.227051,0.00732422,0.917969,-13.6719,-21.6064,-46.0815,71,93,367,-2.10938,-10.3436,-90.4065,0.891602,-0.427734,-0.117188,-23.3765,7.08008,58.8379,-93,-26,194,-101.124,-66.1322,-5.52063,0.80957,-0.596191,-0.210938,-21.6675,-3.78418,57.1289,-107,439,183,-107.045,-51.5918,81.6888,
1.05371,-0.117676,-0.164551,3.17383,2.0752,-0.12207,-314,-37,121,-146.602,-78.9697,12.2937,0.261719,-0.0668945,0.984863,-9.27734,-22.7051,-45.6543,71,93,367,-2.14233,-10.8655,-91.3129,0.884766,-0.577637,-0.0961914,-20.9961,7.38525,56.8848,-91,-24,196,-100.865,-65.2423,-6.21277,0.782227,-0.666016,-0.218262,-19.165,-1.2207,54.1992,-105,443,184,-107.1,-50.5701,81.2769,
1.05518,-0.113281,-0.171875,4.02832,1.70898,-0.0610352,-315,-39,120,-146.453,-78.9972,12.1893,0.325195,-0.26123,1.07178,-10.1318,-26.001,-38.9404,71,93,367,-2.21375,-11.283,-91.9556,0.883789,-0.689453,-0.0600586,-19.8364,6.95801,51.0254,-91,-21,197,-100.475,-64.0833,-7.14111,0.78418,-0.684082,-0.236816,-16.6016,0.244141,43.7012,-104,446,184,-107.15,-49.8999,80.9857,
1.05127,-0.109863,-0.171875,4.5166,1.40381,0.305176,-316,-39,120,-146.277,-79.0192,12.0685,0.388672,-0.418945,1.14062,-9.09424,-28.5034,-35.0342,71,93,367,-2.43347,-11.9257,-92.7026,0.913574,-0.833008,-0.0366211,-14.6484,4.45557,36.1328,-90,-19,197,-100.135,-63.1,-7.90466,0.776367,-0.747559,-0.21582,-20.2026,2.13623,33.0811,-103,449,185,-107.238,-49.2242,80.6451,
1.03662,-0.108887,-0.169434,4.39453,-0.549316,0.732422,-316,-40,119,-146.157,-79.0247,11.9916,0.457031,-0.592285,1.17627,-3.11279,-23.3765,-23.2544,71,93,367,-2.68616,-12.5519,-93.2465,0.956055,-0.984375,0.0385742,-17.8833,1.46484,16.0522,-92,-16,203,-100.02,-62.5726,-8.32764,0.795898,-0.847656,-0.170898,-16.8457,4.39453,12.6953,-101,451,186,-107.369,-48.9221,80.4364,
1.02344,-0.110352,-0.174316,3.66211,-2.0752,0.671387,-316,-39,118,-146.107,-78.9917,11.9751,0.49707,-0.683594,1.22559,8.66699,-11.4136,-9.76562,71,93,367,-2.82349,-12.8815,-93.4991,0.989746,-1.09473,0.0620117,-10.1929,0.427246,-2.74658,-88,-14,199,-99.9701,-62.2266,-8.69019,0.809082,-0.953125,-0.15625,-6.95801,5.18799,-5.31006,-100,453,188,-107.474,-48.9001,80.2661,
1.01221,-0.106934,-0.183594,1.0376,-3.60107,0.610352,-317,-37,118,-146.228,-78.9258,12.074,0.466309,-0.578613,1.21533,12.7563,-0.793457,2.19727,71,93,367,-2.86194,-13.0957,-93.5815,0.970703,-1.125,0.0708008,6.7749,-0.549316,-24.1089,-89,-12,200,-99.8438,-62.2595,-8.83301,0.73877,-1.146,-0.200684,13.3057,4.27246,-23.3154,-99,455,187,-107.342,-49.2242,80.2332,
1.00293,-0.104492,-0.194336,-2.19727,-5.37109,0.12207,-317,-39,119,-146.448,-78.8599,12.2223,0.415039,-0.519531,1.1748,3.479,11.6577,20.0806,71,93,367,-2.97729,-13.0408,-93.4113,0.937012,-1.09814,0.0620117,20.752,-1.28174,-33.6304,-89,-11,199,-99.5251,-62.5836,-8.87146,0.71582,-0.97998,-0.210938,27.5269,1.09863,-38.5132,-99,455,187,-107.089,-49.6417,80.3485,
1.0083,-0.101562,-0.217285,-1.70898,-6.89697,0.427246,-316,-37,118,-146.904,-78.7335,12.5409,0.364258,-0.398926,1.07275,2.56348,14.2212,31.25,71,93,367,-3.25745,-12.8101,-92.9004,0.875,-0.830566,-0.00390625,40.6494,-0.793457,-41.1377,-89,-12,199,-98.8934,-63.1219,-8.79456,0.764648,-0.719727,-0.188965,29.6631,0.793457,-48.2178,-99,454,187,-106.749,-50.3998,80.6287,
0.993652,-0.104004,-0.179199,-1.52588,-8.23975,0.366211,-315,-39,120,-147.206,-78.6292,12.7496,0.297363,-0.272461,0.976562,-1.52588,19.8364,43.6401,71,93,367,-3.59253,-12.4695,-92.1094,0.887207,-0.472168,-0.0532227,41.8701,-3.05176,-48.584,-89,-15,197,-98.421,-63.6932,-8.5968,0.816895,-0.490234,-0.188477,27.8931,1.28174,-54.0771,-99,453,185,-106.474,-51.3281,80.9967,
