ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,HX,HY,Hz,ROll,Pitch,Yaw,
0.0136719,0.248535,1.10254,2.74658,-2.74658,19.5312,-110,314,-661,1.03271,1.83472,-22.0386,0.96582,0.489258,-0.214844,7.69043,9.76562,-22.583,-92,-168,340,128.309,-68.1372,119.482,1.04443,-0.0488281,-0.116211,5.49316,-8.48389,-19.3481,-311,21,261,-153.248,-80.9912,61.864,
-0.0112305,0.359375,1.14355,1.28174,-2.19727,11.2915,-111,315,-662,1.04919,1.78528,-21.8134,0.964355,0.623047,-0.162598,5.06592,9.64355,-15.1978,-92,-167,340,127.436,-67.9504,120.558,1.06787,0.0283203,-0.159668,4.45557,-2.86865,-14.6484,-312,18,262,-154.951,-81.0571,63.7207,
-0.0561523,0.407227,1.1582,3.17383,-2.0752,1.28174,-111,315,-662,1.09863,1.74133,-21.7145,0.932129,0.777344,-0.130371,-0.854492,7.75146,-5.67627,-92,-170,340,126.595,-67.8241,121.547,1.09131,0.0854492,-0.211914,-1.15967,3.23486,-8.05664,-312,18,262,-155.852,-81.1176,64.7205,
-0.0571289,0.438965,1.16016,13.855,-2.44141,-10.9863,-111,315,-661,1.2085,1.71387,-21.7365,0.907227,0.856934,-0.115723,-13.0005,4.27246,3.72314,-91,-170,342,126.068,-67.7747,122.091,1.09912,0.0898438,-0.249023,-6.53076,9.76562,0.854492,-311,18,263,-156.676,-81.2329,65.6268,
-0.0693359,0.507812,1.11768,12.0239,-1.95312,-23.3154,-111,315,-662,1.46118,1.68091,-21.9232,0.932129,0.824219,-0.122559,-24.8413,-0.610352,13.2446,-93,-170,342,125.376,-67.7582,122.64,1.10254,0.0537109,-0.256348,-7.56836,13.0005,7.08008,-310,19,263,-156.495,-81.3593,65.4456,
-0.0561523,0.470215,1.08447,9.94873,-1.34277,-29.1138,-111,314,-661,1.69189,1.66992,-22.2693,0.945312,0.678711,-0.150391,-31.1279,-5.12695,21.4844,-92,-170,341,124.937,-67.8241,122.734,1.07275,0.00537109,-0.217285,-6.71387,16.5405,16.4185,-311,18,262,-155.143,-81.4746,64.0448,
-0.0429688,0.384277,1.0459,6.46973,1.15967,-35.4004,-112,313,-661,1.88416,1.69189,-22.7142,0.953613,0.550781,-0.160645,-28.7476,-7.50732,26.6113,-93,-170,342,124.893,-67.9889,122.344,1.04102,-0.0214844,-0.179688,-2.92969,18.6768,25.1465,-310,16,262,-152.617,-81.5625,61.4575,
-0.0341797,0.240723,1.0166,0,2.31934,-38.3301,-112,312,-662,1.99951,1.74683,-23.2141,0.962891,0.397461,-0.171875,-18.1274,-9.76562,34.729,-92,-171,341,125.37,-68.2745,121.498,1.01562,-0.0566406,-0.148926,0.854492,18.7378,31.5552,-310,17,262,-149.216,-81.59,58.0353,
-0.0351562,0.103516,0.987305,-6.7749,3.54004,-39.1846,-112,310,-661,1.99951,1.82373,-23.7305,0.953125,0.291992,-0.210938,-6.65283,-10.8643,39.1846,-91,-170,340,126.343,-68.6426,120.3,0.971191,-0.0859375,-0.132812,4.3335,18.1885,35.3394,-308,18,261,-146.618,-81.568,55.437,
-0.0395508,-0.00390625,0.956543,-10.0708,3.84521,-38.7573,-112,309,-661,1.96106,1.87866,-24.0656,0.925781,0.20459,-0.228027,2.50244,-12.3901,41.4429,-90,-168,339,127.216,-68.9117,119.35,0.944336,-0.111816,-0.127441,5.7373,17.0288,35.7666,-310,18,259,-142.581,-81.4636,51.405,
